Text Chunk,Generated Question,Generated Answer
"Azure Administrator Associate
Chapter 2: Manage identities and governance in Azure

Modules in this learning path

Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Configure user and group accounts

Learn how to configure user and group accounts. Configure subscriptions

Learn how to configure Azure subscriptions, including how to obtain a subscription, implement cost management, and apply Azure resource tags. Configure Azure Policy

Learn how to configure Azure Policy to implement compliance requirements. Configure role-based access control

Learn how to use role-based access control (RBAC) to ensure resources are protected, but users can still access the resources they need. Create Azure users and groups in Microsoft Entra ID

Create users in Microsoft Entra ID. Understand different types of groups. Create a group and add members. Manage business-to-business guest accounts. Secure your Azure resources with Azure role-based access control (Azure RBAC)

Learn how to use Azure RBAC to manage access to resources in Azure. Allow users to reset their password with Microsoft Entra self-service password reset

Evaluate self-service password reset to allow users in your organization to reset their passwords or unlock their accounts. Set up, configure, and test self-service password reset. Point 1: Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Learning objectives
After this module, you should be able to:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS). Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. 1- Introduction

Welcome to the Microsoft Entra ID learning module! Microsoft Entra ID is a cloud-based identity and access management service provided by Microsoft. Microsoft Entra ID is a comprehensive solution for managing identities, enforcing access policies, and securing your applications and data in the cloud and on-premises. This module aims to equip you with a comprehensive understanding of the following:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS).",What is Microsoft Entra ID and how does it differ from Active Directory Domain Services (AD DS)?,"Microsoft Entra ID is a cloud-based identity and access management service provided by Microsoft. It is designed to manage identities, enforce access policies, and secure applications and data both in the cloud and on-premises. Unlike Active Directory Domain Services (AD DS), which is primarily used for on-premises environments, Microsoft Entra ID is optimized for cloud applications and services, providing additional features such as identity protection and conditional access."
"Azure Administrator Associate
Chapter 2: Manage identities and governance in Azure

Modules in this learning path

Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Configure user and group accounts

Learn how to configure user and group accounts. Configure subscriptions

Learn how to configure Azure subscriptions, including how to obtain a subscription, implement cost management, and apply Azure resource tags. Configure Azure Policy

Learn how to configure Azure Policy to implement compliance requirements. Configure role-based access control

Learn how to use role-based access control (RBAC) to ensure resources are protected, but users can still access the resources they need. Create Azure users and groups in Microsoft Entra ID

Create users in Microsoft Entra ID. Understand different types of groups. Create a group and add members. Manage business-to-business guest accounts. Secure your Azure resources with Azure role-based access control (Azure RBAC)

Learn how to use Azure RBAC to manage access to resources in Azure. Allow users to reset their password with Microsoft Entra self-service password reset

Evaluate self-service password reset to allow users in your organization to reset their passwords or unlock their accounts. Set up, configure, and test self-service password reset. Point 1: Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Learning objectives
After this module, you should be able to:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS). Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. 1- Introduction

Welcome to the Microsoft Entra ID learning module! Microsoft Entra ID is a cloud-based identity and access management service provided by Microsoft. Microsoft Entra ID is a comprehensive solution for managing identities, enforcing access policies, and securing your applications and data in the cloud and on-premises. This module aims to equip you with a comprehensive understanding of the following:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS).",How does role-based access control (RBAC) help secure Azure resources?,"Role-based access control (RBAC) in Azure allows organizations to manage who has access to Azure resources, what actions they can perform, and what areas they can access. By assigning roles to users or groups, organizations can ensure that only authorized users have the necessary permissions to perform specific tasks, thereby protecting sensitive resources while maintaining efficient access for users."
"Azure Administrator Associate
Chapter 2: Manage identities and governance in Azure

Modules in this learning path

Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Configure user and group accounts

Learn how to configure user and group accounts. Configure subscriptions

Learn how to configure Azure subscriptions, including how to obtain a subscription, implement cost management, and apply Azure resource tags. Configure Azure Policy

Learn how to configure Azure Policy to implement compliance requirements. Configure role-based access control

Learn how to use role-based access control (RBAC) to ensure resources are protected, but users can still access the resources they need. Create Azure users and groups in Microsoft Entra ID

Create users in Microsoft Entra ID. Understand different types of groups. Create a group and add members. Manage business-to-business guest accounts. Secure your Azure resources with Azure role-based access control (Azure RBAC)

Learn how to use Azure RBAC to manage access to resources in Azure. Allow users to reset their password with Microsoft Entra self-service password reset

Evaluate self-service password reset to allow users in your organization to reset their passwords or unlock their accounts. Set up, configure, and test self-service password reset. Point 1: Understand Microsoft Entra ID

This module explains Microsoft Entra ID. You'll compare Microsoft Entra ID to Active Directory DS, learn about Microsoft Entra ID P1 and P2, and explore Microsoft Entra Domain Services for managing domain-joined devices and apps in the cloud. Learning objectives
After this module, you should be able to:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS). Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. 1- Introduction

Welcome to the Microsoft Entra ID learning module! Microsoft Entra ID is a cloud-based identity and access management service provided by Microsoft. Microsoft Entra ID is a comprehensive solution for managing identities, enforcing access policies, and securing your applications and data in the cloud and on-premises. This module aims to equip you with a comprehensive understanding of the following:

Describe Microsoft Entra ID. Compare Microsoft Entra ID to Active Directory Domain Services (AD DS).",What are the main features of Microsoft Entra ID P1 and P2?,"Microsoft Entra ID P1 and P2 are premium offerings of Microsoft Entra ID that provide advanced features for identity and access management. P1 includes features such as conditional access, identity protection, and self-service password reset. P2 offers additional capabilities like identity governance, which includes entitlement management and Azure AD Privileged Identity Management, allowing for more granular control over user access and permissions."
"Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. Whether you're a beginner or an experienced IT professional, this module provides you with the knowledge and skills necessary to understand Microsoft Entra ID effectively. So, let's explore the exciting world of Microsoft Entra ID! Next unit: Examine Microsoft Entra ID

2- Examine Microsoft Entra ID

Students should be familiar with Active Directory Domain Services (AD DS or traditionally called just ""Active Directory""). AD DS is a directory service that provides the methods for storing directory data, such as user accounts and passwords, and makes this data available to network users, administrators, and other devices and services. It runs as a service on Windows Server, referred to as a domain controller. Microsoft Entra ID is part of the platform as a service (PaaS) offering and operates as a Microsoft-managed directory service in the cloud. It’s not a part of the core infrastructure that customers own and manage, nor is it an Infrastructure as a service offering. While this implies that you have less control over its implementation, it also means that you don’t have to dedicate resources to its deployment or maintenance. With Microsoft Entra ID, you also have access to a set of features that aren’t natively available in AD DS, such as support for multi-factor authentication, identity protection, and self-service password reset. You can use Microsoft Entra ID to provide more secure access to cloud-based resources for organizations and individuals by:

Configuring access to applications
Configuring single sign-on (SSO) to cloud-based SaaS applications
Managing users and groups
Provisioning users
Enabling federation between organizations
Providing an identity management solution
Identifying irregular sign-in activity
Configuring multi-factor authentication
Extending existing on-premises Active Directory implementations to Microsoft Entra ID
Configuring Application Proxy for cloud and local applications
Configuring Conditional Access for users and devices
Diagram that shows the Microsoft Entra Connect Stack. Microsoft Entra constitutes a separate Azure service. Its most elementary form, which any new Azure subscription includes automatically, doesn't incur any extra cost and is referred to as the Free tier. If you subscribe to any Microsoft Online business services (for example, Microsoft 365 or Microsoft Intune), you automatically get Microsoft Entra ID with access to all the Free features.",How does Microsoft Entra ID differ from traditional Active Directory Domain Services (AD DS)?,"Microsoft Entra ID differs from traditional Active Directory Domain Services (AD DS) as it operates as a Microsoft-managed directory service in the cloud, part of the platform as a service (PaaS) offering. It is not part of the core infrastructure that customers own and manage, nor is it an Infrastructure as a Service (IaaS) offering. While this means less control over its implementation, it also eliminates the need for deploying or maintaining the service. Additionally, it provides features like multi-factor authentication, identity protection, and self-service password reset, which are not natively available in AD DS."
"Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. Whether you're a beginner or an experienced IT professional, this module provides you with the knowledge and skills necessary to understand Microsoft Entra ID effectively. So, let's explore the exciting world of Microsoft Entra ID! Next unit: Examine Microsoft Entra ID

2- Examine Microsoft Entra ID

Students should be familiar with Active Directory Domain Services (AD DS or traditionally called just ""Active Directory""). AD DS is a directory service that provides the methods for storing directory data, such as user accounts and passwords, and makes this data available to network users, administrators, and other devices and services. It runs as a service on Windows Server, referred to as a domain controller. Microsoft Entra ID is part of the platform as a service (PaaS) offering and operates as a Microsoft-managed directory service in the cloud. It’s not a part of the core infrastructure that customers own and manage, nor is it an Infrastructure as a service offering. While this implies that you have less control over its implementation, it also means that you don’t have to dedicate resources to its deployment or maintenance. With Microsoft Entra ID, you also have access to a set of features that aren’t natively available in AD DS, such as support for multi-factor authentication, identity protection, and self-service password reset. You can use Microsoft Entra ID to provide more secure access to cloud-based resources for organizations and individuals by:

Configuring access to applications
Configuring single sign-on (SSO) to cloud-based SaaS applications
Managing users and groups
Provisioning users
Enabling federation between organizations
Providing an identity management solution
Identifying irregular sign-in activity
Configuring multi-factor authentication
Extending existing on-premises Active Directory implementations to Microsoft Entra ID
Configuring Application Proxy for cloud and local applications
Configuring Conditional Access for users and devices
Diagram that shows the Microsoft Entra Connect Stack. Microsoft Entra constitutes a separate Azure service. Its most elementary form, which any new Azure subscription includes automatically, doesn't incur any extra cost and is referred to as the Free tier. If you subscribe to any Microsoft Online business services (for example, Microsoft 365 or Microsoft Intune), you automatically get Microsoft Entra ID with access to all the Free features.",What are some key features of Microsoft Entra ID that enhance security and identity management for cloud-based resources?,"Key features of Microsoft Entra ID that enhance security and identity management for cloud-based resources include configuring access to applications, single sign-on (SSO) for SaaS applications, managing users and groups, provisioning users, enabling federation between organizations, identifying irregular sign-in activity, configuring multi-factor authentication, extending on-premises Active Directory implementations, configuring Application Proxy for cloud and local applications, and setting up Conditional Access for users and devices."
"Describe how Microsoft Entra ID is used as a directory for cloud apps. Describe Microsoft Entra ID P1 and P2. Describe Microsoft Entra Domain Services. Whether you're a beginner or an experienced IT professional, this module provides you with the knowledge and skills necessary to understand Microsoft Entra ID effectively. So, let's explore the exciting world of Microsoft Entra ID! Next unit: Examine Microsoft Entra ID

2- Examine Microsoft Entra ID

Students should be familiar with Active Directory Domain Services (AD DS or traditionally called just ""Active Directory""). AD DS is a directory service that provides the methods for storing directory data, such as user accounts and passwords, and makes this data available to network users, administrators, and other devices and services. It runs as a service on Windows Server, referred to as a domain controller. Microsoft Entra ID is part of the platform as a service (PaaS) offering and operates as a Microsoft-managed directory service in the cloud. It’s not a part of the core infrastructure that customers own and manage, nor is it an Infrastructure as a service offering. While this implies that you have less control over its implementation, it also means that you don’t have to dedicate resources to its deployment or maintenance. With Microsoft Entra ID, you also have access to a set of features that aren’t natively available in AD DS, such as support for multi-factor authentication, identity protection, and self-service password reset. You can use Microsoft Entra ID to provide more secure access to cloud-based resources for organizations and individuals by:

Configuring access to applications
Configuring single sign-on (SSO) to cloud-based SaaS applications
Managing users and groups
Provisioning users
Enabling federation between organizations
Providing an identity management solution
Identifying irregular sign-in activity
Configuring multi-factor authentication
Extending existing on-premises Active Directory implementations to Microsoft Entra ID
Configuring Application Proxy for cloud and local applications
Configuring Conditional Access for users and devices
Diagram that shows the Microsoft Entra Connect Stack. Microsoft Entra constitutes a separate Azure service. Its most elementary form, which any new Azure subscription includes automatically, doesn't incur any extra cost and is referred to as the Free tier. If you subscribe to any Microsoft Online business services (for example, Microsoft 365 or Microsoft Intune), you automatically get Microsoft Entra ID with access to all the Free features.","What are Microsoft Entra ID P1 and P2, and how do they differ from the Free tier?","Microsoft Entra ID P1 and P2 are premium tiers of Microsoft Entra ID that offer additional features beyond the Free tier. The Free tier includes basic features automatically with any new Azure subscription and with Microsoft Online business services like Microsoft 365. The P1 tier offers advanced identity management capabilities, while the P2 tier provides additional features such as identity protection and identity governance. These premium tiers cater to organizations needing more robust identity management and security features."
"Note

By default, when you create a new Azure subscription by using a Microsoft account, the subscription automatically includes a new Microsoft Entra tenant named Default Directory. Some of the more advanced identity management features require paid versions of Microsoft Entra ID, offered in the form of Basic and Premium tiers. Some of these features are also automatically included in Microsoft Entra instances generated as part of Microsoft 365 subscriptions. Differences between Microsoft Entra versions are discussed later in this module. Implementing Microsoft Entra ID isn't the same as deploying virtual machines in Azure, adding AD DS, and then deploying some domain controllers for a new forest and domain. Microsoft Entra ID is a different service, much more focused on providing identity management services to web-based apps, unlike AD DS, which is more focused on on-premises apps. Microsoft Entra tenants
Unlike AD DS, Microsoft Entra ID is multi-tenant by design and is implemented specifically to ensure isolation between its individual directory instances. It’s the world’s largest multi-tenant directory, hosting over a million directory services instances, with billions of authentication requests per week. The term tenant in this context typically represents a company or organization that signed up for a subscription to a Microsoft cloud-based service such as Microsoft 365, Intune, or Azure, each of which uses Microsoft Entra ID. However, from a technical standpoint, the term tenant represents an individual Microsoft Entra instance. Within an Azure subscription, you can create multiple Microsoft Entra tenants. Having multiple Microsoft Entra tenants might be convenient if you want to test Microsoft Entra functionality in one tenant without affecting the others. At any given time, an Azure subscription must be associated with one, and only one, Microsoft Entra tenant. This association allows you to grant permissions to resources in the Azure subscription (via RBAC) to users, groups, and applications that exist in that particular Microsoft Entra tenant. Note

You can associate the same Microsoft Entra tenant with multiple Azure subscriptions. This allows you to use the same users, groups, and applications to manage resources across multiple Azure subscriptions. Each Microsoft Entra tenant is assigned the default Domain Name System (DNS) domain name, consisting of a unique prefix. The prefix, derived from the name of the Microsoft account you use to create an Azure subscription or provided explicitly when creating a Microsoft Entra tenant, is followed by the onmicrosoft.com suffix. Adding at least one custom domain name to the same Microsoft Entra tenant is possible and common.",What is the default directory created when you set up a new Azure subscription with a Microsoft account?,"When you create a new Azure subscription using a Microsoft account, a new Microsoft Entra tenant named Default Directory is automatically included in the subscription."
"Note

By default, when you create a new Azure subscription by using a Microsoft account, the subscription automatically includes a new Microsoft Entra tenant named Default Directory. Some of the more advanced identity management features require paid versions of Microsoft Entra ID, offered in the form of Basic and Premium tiers. Some of these features are also automatically included in Microsoft Entra instances generated as part of Microsoft 365 subscriptions. Differences between Microsoft Entra versions are discussed later in this module. Implementing Microsoft Entra ID isn't the same as deploying virtual machines in Azure, adding AD DS, and then deploying some domain controllers for a new forest and domain. Microsoft Entra ID is a different service, much more focused on providing identity management services to web-based apps, unlike AD DS, which is more focused on on-premises apps. Microsoft Entra tenants
Unlike AD DS, Microsoft Entra ID is multi-tenant by design and is implemented specifically to ensure isolation between its individual directory instances. It’s the world’s largest multi-tenant directory, hosting over a million directory services instances, with billions of authentication requests per week. The term tenant in this context typically represents a company or organization that signed up for a subscription to a Microsoft cloud-based service such as Microsoft 365, Intune, or Azure, each of which uses Microsoft Entra ID. However, from a technical standpoint, the term tenant represents an individual Microsoft Entra instance. Within an Azure subscription, you can create multiple Microsoft Entra tenants. Having multiple Microsoft Entra tenants might be convenient if you want to test Microsoft Entra functionality in one tenant without affecting the others. At any given time, an Azure subscription must be associated with one, and only one, Microsoft Entra tenant. This association allows you to grant permissions to resources in the Azure subscription (via RBAC) to users, groups, and applications that exist in that particular Microsoft Entra tenant. Note

You can associate the same Microsoft Entra tenant with multiple Azure subscriptions. This allows you to use the same users, groups, and applications to manage resources across multiple Azure subscriptions. Each Microsoft Entra tenant is assigned the default Domain Name System (DNS) domain name, consisting of a unique prefix. The prefix, derived from the name of the Microsoft account you use to create an Azure subscription or provided explicitly when creating a Microsoft Entra tenant, is followed by the onmicrosoft.com suffix. Adding at least one custom domain name to the same Microsoft Entra tenant is possible and common.",How does Microsoft Entra ID differ from Active Directory Domain Services (AD DS) in terms of application focus?,"Microsoft Entra ID is focused on providing identity management services to web-based apps, whereas AD DS is more focused on on-premises apps."
"Note

By default, when you create a new Azure subscription by using a Microsoft account, the subscription automatically includes a new Microsoft Entra tenant named Default Directory. Some of the more advanced identity management features require paid versions of Microsoft Entra ID, offered in the form of Basic and Premium tiers. Some of these features are also automatically included in Microsoft Entra instances generated as part of Microsoft 365 subscriptions. Differences between Microsoft Entra versions are discussed later in this module. Implementing Microsoft Entra ID isn't the same as deploying virtual machines in Azure, adding AD DS, and then deploying some domain controllers for a new forest and domain. Microsoft Entra ID is a different service, much more focused on providing identity management services to web-based apps, unlike AD DS, which is more focused on on-premises apps. Microsoft Entra tenants
Unlike AD DS, Microsoft Entra ID is multi-tenant by design and is implemented specifically to ensure isolation between its individual directory instances. It’s the world’s largest multi-tenant directory, hosting over a million directory services instances, with billions of authentication requests per week. The term tenant in this context typically represents a company or organization that signed up for a subscription to a Microsoft cloud-based service such as Microsoft 365, Intune, or Azure, each of which uses Microsoft Entra ID. However, from a technical standpoint, the term tenant represents an individual Microsoft Entra instance. Within an Azure subscription, you can create multiple Microsoft Entra tenants. Having multiple Microsoft Entra tenants might be convenient if you want to test Microsoft Entra functionality in one tenant without affecting the others. At any given time, an Azure subscription must be associated with one, and only one, Microsoft Entra tenant. This association allows you to grant permissions to resources in the Azure subscription (via RBAC) to users, groups, and applications that exist in that particular Microsoft Entra tenant. Note

You can associate the same Microsoft Entra tenant with multiple Azure subscriptions. This allows you to use the same users, groups, and applications to manage resources across multiple Azure subscriptions. Each Microsoft Entra tenant is assigned the default Domain Name System (DNS) domain name, consisting of a unique prefix. The prefix, derived from the name of the Microsoft account you use to create an Azure subscription or provided explicitly when creating a Microsoft Entra tenant, is followed by the onmicrosoft.com suffix. Adding at least one custom domain name to the same Microsoft Entra tenant is possible and common.","Can a single Microsoft Entra tenant be associated with multiple Azure subscriptions, and what advantage does this provide?","Yes, a single Microsoft Entra tenant can be associated with multiple Azure subscriptions, allowing the same users, groups, and applications to manage resources across those subscriptions."
"This name utilizes the DNS domain namespace that the corresponding company or organization owns. The Microsoft Entra tenant serves as the security boundary and a container for Microsoft Entra objects such as users, groups, and applications. A single Microsoft Entra tenant can support multiple Azure subscriptions. Microsoft Entra schema
The Microsoft Entra schema contains fewer object types than that of AD DS. Most notably, it doesn't include a definition of the computer class, although it does include the device class. The process of joining devices to Microsoft Entra differs considerably from the process of joining computers to AD DS. The Microsoft Entra schema is also easily extensible, and its extensions are fully reversible. The lack of support for the traditional computer domain membership means that you can't use Microsoft Entra ID to manage computers or user settings by using traditional management techniques, such as Group Policy Objects (GPOs). Instead, Microsoft Entra ID and its services define a concept of modern management. Microsoft Entra ID’s primary strength lies in providing directory services; storing and publishing user, device, and application data; and handling the authentication and authorization of the users, devices, and applications. The effectiveness and efficiency of these features are apparent based on existing deployments of cloud services such as Microsoft 365, which rely on Microsoft Entra ID as their identity provider and support millions of users. Microsoft Entra ID doesn't include the organizational unit (OU) class, which means that you can't arrange its objects into a hierarchy of custom containers, which is frequently used in on-premises AD DS deployments. However, this isn't a significant shortcoming, because OUs in AD DS are used primarily for Group Policy scoping and delegation. You can accomplish equivalent arrangements by organizing objects based on their group membership. Objects of the Application and servicePrincipal classes represent applications in Microsoft Entra ID. An object in the Application class contains an application definition and an object in the servicePrincipal class constitutes its instance in the current Microsoft Entra tenant. Separating these two sets of characteristics allows you to define an application in one tenant and use it across multiple tenants by creating a service principal object for this application in each tenant. Microsoft Entra ID creates the service principal object when you register the corresponding application in that Microsoft Entra tenant.",What is the primary role of Microsoft Entra ID in cloud services like Microsoft 365?,"Microsoft Entra ID's primary role in cloud services is to provide directory services by storing and publishing user, device, and application data, as well as handling authentication and authorization for users, devices, and applications."
